GHM;GHM_LABEL
13C11J;Dilatations et curetages, conisations pour tumeurs malignes, en ambulatoire
05C11V;Autres interventions de chirurgie vasculaire sans CMA
06C11V;Interventions réparatrices pour hernies et éventrations à l'exception des hernies inguinales et crurales, âge supérieur à 17 ans sans CMA
07C11V;Dérivations biliaires sans CMA
08C11V;Interventions sur le membre supérieur à l'exception de l'humérus et de la main, âge inférieur à 70 ans sans CMA
10C11V;Interventions sur la thyroïde pour tumeurs malignes, âge inférieur à 70 ans sans CMA
05C11W;Autres interventions de chirurgie vasculaire avec CMA
06C11W;Interventions réparatrices pour hernies et éventrations à l'exception des hernies inguinales et crurales, âge supérieur à 17 ans avec CMA
07C11W;Dérivations biliaires avec CMA
08C11W;Interventions sur le membre supérieur à l'exception de l'humérus et de la main, âge supérieur à 69 ans et/ou CMA
10C11W;Interventions sur la thyroïde pour tumeurs malignes, âge supérieur à 69 ans et/ou CMA
01C11Z;Craniotomies pour tumeurs, âge inférieur à 18 ans
03C11Z;Amygdalectomies et/ou adénoïdectomies isolées, âge supérieur à 17 ans
12C11Z;Interventions pelviennes majeures chez l'homme pour tumeurs malignes
13C11Z;Dilatations et curetages, conisations pour tumeurs malignes
24C11Z;Interventions réparatrices pour hernies abdominales : séjours de moins de 2 jours
01C111;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1
02C111;Autres interventions intraoculaires en dehors des affections sévères, niveau 1
03C111;Amygdalectomies et/ou adénoïdectomies isolées, âge supérieur à 17 ans, niveau 1
05C111;Autres interventions de chirurgie vasculaire, niveau 1
06C111;Interventions réparatrices pour hernies et éventrations à l'exception des hernies inguinales et crurales, âge supérieur à 17 ans, niveau 1
07C111;Dérivations biliaires, niveau 1
09C111;Reconstructions des seins, niveau 1
10C111;Interventions sur la thyroïde pour tumeurs malignes, niveau 1
11C111;Interventions par voie transurétrale ou transcutanée pour lithiases urinaires, niveau 1
12C111;Interventions pelviennes majeures chez l'homme pour tumeurs malignes, niveau 1
13C111;Dilatations et curetages, conisations pour tumeurs malignes, niveau 1
01C112;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2
02C112;Autres interventions intraoculaires en dehors des affections sévères, niveau 2
03C112;Amygdalectomies et/ou adénoïdectomies isolées, âge supérieur à 17 ans, niveau 2
05C112;Autres interventions de chirurgie vasculaire, niveau 2
06C112;Interventions réparatrices pour hernies et éventrations à l'exception des hernies inguinales et crurales, âge supérieur à 17 ans, niveau 2
07C112;Dérivations biliaires, niveau 2
09C112;Reconstructions des seins, niveau 2
10C112;Interventions sur la thyroïde pour tumeurs malignes, niveau 2
11C112;Interventions par voie transurétrale ou transcutanée pour lithiases urinaires, niveau 2
12C112;Interventions pelviennes majeures chez l'homme pour tumeurs malignes, niveau 2
13C112;Dilatations et curetages, conisations pour tumeurs malignes, niveau 2
01C113;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3
02C113;Autres interventions intraoculaires en dehors des affections sévères, niveau 3
03C113;Amygdalectomies et/ou adénoïdectomies isolées, âge supérieur à 17 ans, niveau 3
05C113;Autres interventions de chirurgie vasculaire, niveau 3
06C113;Interventions réparatrices pour hernies et éventrations à l'exception des hernies inguinales et crurales, âge supérieur à 17 ans, niveau 3
07C113;Dérivations biliaires, niveau 3
09C113;Reconstructions des seins, niveau 3
10C113;Interventions sur la thyroïde pour tumeurs malignes, niveau 3
11C113;Interventions par voie transurétrale ou transcutanée pour lithiases urinaires, niveau 3
12C113;Interventions pelviennes majeures chez l'homme pour tumeurs malignes, niveau 3
13C113;Dilatations et curetages, conisations pour tumeurs malignes, niveau 3
01C114;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4
02C114;Autres interventions intraoculaires en dehors des affections sévères, niveau 4
03C114;Amygdalectomies et/ou adénoïdectomies isolées, âge supérieur à 17 ans, niveau 4
05C114;Autres interventions de chirurgie vasculaire, niveau 4
06C114;Interventions réparatrices pour hernies et éventrations à l'exception des hernies inguinales et crurales, âge supérieur à 17 ans, niveau 4
07C114;Dérivations biliaires, niveau 4
09C114;Reconstructions des seins, niveau 4
10C114;Interventions sur la thyroïde pour tumeurs malignes, niveau 4
11C114;Interventions par voie transurétrale ou transcutanée pour lithiases urinaires, niveau 4
12C114;Interventions pelviennes majeures chez l'homme pour tumeurs malignes, niveau 4
13C114;Dilatations et curetages, conisations pour tumeurs malignes, niveau 4
02C12J;Interventions sur le cristallin avec trabéculectomie, en ambulatoire
06C12J;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans, en ambulatoire
08C12J;Biopsies ostéoarticulaires, en ambulatoire
09C12J;Interventions pour kystes, granulomes et interventions sur les ongles, en ambulatoire
11C12J;Injections de toxine botulique dans l'appareil urinaire, en ambulatoire
13C12J;Dilatations et curetages, conisations pour des affections non malignes, en ambulatoire
05C12V;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, sans CMA
06C12V;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans sans CMA
07C12V;Autres interventions sur les voies biliaires sauf cholécystectomies isolées sans CMA
10C12V;Interventions sur la thyroïde pour affections non malignes, âge inférieur à 70 ans sans CMA
05C12W;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, avec CMA
06C12W;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans avec CMA
07C12W;Autres interventions sur les voies biliaires sauf cholécystectomies isolées avec CMA
10C12W;Interventions sur la thyroïde pour affections non malignes, âge supérieur à 69 ans et/ou CMA
01C12Z;Craniotomies pour affections non tumorales, âge inférieur à 18 ans
03C12Z;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge inférieur à 18 ans
08C12Z;Biopsies ostéoarticulaires
12C12Z;Interventions pelviennes majeures chez l'homme pour affections non malignes
13C12Z;Dilatations et curetages, conisations pour des affections non malignes
24C12Z;Interventions sur le rectum et l'anus : séjours de moins de 2 jours
01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1
02C121;Interventions sur le cristallin avec trabéculectomie, niveau 1
03C121;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge inférieur à 18 ans, niveau 1
05C121;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, niveau 1
06C121;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans, niveau 1
07C121;Autres interventions sur les voies biliaires sauf cholécystectomies isolées, niveau 1
08C121;Biopsies ostéoarticulaires, niveau 1
09C121;Interventions pour kystes, granulomes et interventions sur les ongles, niveau 1
10C121;Interventions sur la thyroïde pour affections non malignes, niveau 1
11C121;Injections de toxine botulique dans l'appareil urinaire, niveau 1
12C121;Interventions pelviennes majeures chez l'homme pour affections non malignes, niveau 1
13C121;Dilatations et curetages, conisations pour des affections non malignes, niveau 1
01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2
02C122;Interventions sur le cristallin avec trabéculectomie, niveau 2
03C122;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge inférieur à 18 ans, niveau 2
05C122;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, niveau 2
06C122;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans, niveau 2
07C122;Autres interventions sur les voies biliaires sauf cholécystectomies isolées, niveau 2
08C122;Biopsies ostéoarticulaires, niveau 2
09C122;Interventions pour kystes, granulomes et interventions sur les ongles, niveau 2
10C122;Interventions sur la thyroïde pour affections non malignes, niveau 2
11C122;Injections de toxine botulique dans l'appareil urinaire, niveau 2
12C122;Interventions pelviennes majeures chez l'homme pour affections non malignes, niveau 2
13C122;Dilatations et curetages, conisations pour des affections non malignes, niveau 2
01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3
02C123;Interventions sur le cristallin avec trabéculectomie, niveau 3
03C123;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge inférieur à 18 ans, niveau 3
05C123;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, niveau 3
06C123;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans, niveau 3
07C123;Autres interventions sur les voies biliaires sauf cholécystectomies isolées, niveau 3
08C123;Biopsies ostéoarticulaires, niveau 3
09C123;Interventions pour kystes, granulomes et interventions sur les ongles, niveau 3
10C123;Interventions sur la thyroïde pour affections non malignes, niveau 3
11C123;Injections de toxine botulique dans l'appareil urinaire, niveau 3
12C123;Interventions pelviennes majeures chez l'homme pour affections non malignes, niveau 3
13C123;Dilatations et curetages, conisations pour des affections non malignes, niveau 3
01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4
02C124;Interventions sur le cristallin avec trabéculectomie, niveau 4
03C124;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge inférieur à 18 ans, niveau 4
05C124;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, niveau 4
06C124;Interventions réparatrices pour hernies inguinales et crurales, âge supérieur à 17 ans, niveau 4
07C124;Autres interventions sur les voies biliaires sauf cholécystectomies isolées, niveau 4
08C124;Biopsies ostéoarticulaires, niveau 4
09C124;Interventions pour kystes, granulomes et interventions sur les ongles, niveau 4
10C124;Interventions sur la thyroïde pour affections non malignes, niveau 4
11C124;Injections de toxine botulique dans l'appareil urinaire, niveau 4
12C124;Interventions pelviennes majeures chez l'homme pour affections non malignes, niveau 4
13C124;Dilatations et curetages, conisations pour des affections non malignes, niveau 4
01C13J;Libérations du canal carpien et d'autres nerfs superficiels, en ambulatoire
02C13J;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, en ambulatoire
05C13J;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils, en ambulatoire
08C13J;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau de la hanche et du fémur, en ambulatoire
09C13J;Interventions pour condylomes anogénitaux, en ambulatoire
11C13J;Interventions par voie transurétrale ou transcutanée pour des affections non lithiasiques, en ambulatoire
12C13J;Stérilisation et vasoplastie, en ambulatoire
13C13T;Autres interventions sur l'appareil génital féminin, très courte durée
05C13V;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils sans CMA
06C13V;Libérations d'adhérences péritonéales, âge inférieur à 70 ans sans CMA
05C13W;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils avec CMA
06C13W;Libérations d'adhérences péritonéales, âge supérieur à 69 ans et/ou CMA
01C13Z;Libérations du canal carpien et d'autres nerfs superficiels
03C13Z;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge supérieur à 17 ans
08C13Z;Résections osseuses localisées et/ou ablations de matériel de fixation interne au niveau de la hanche et du fémur
13C13Z;Autres interventions sur l'appareil génital féminin
24C13Z;Affections de la CMD 06 : séjours de moins de 2 jours, avec autre acte opératoire de la CMD 06
01C131;Libérations du canal carpien et d'autres nerfs superficiels, niveau 1
02C131;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, niveau 1
03C131;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge supérieur à 17 ans, niveau 1
05C131;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils, niveau 1
06C131;Libérations d'adhérences péritonéales, niveau 1
07C131;Cholécystectomies sans exploration de la voie biliaire principale pour affections aigües, niveau 1
08C131;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau de la hanche et du fémur, niveau 1
09C131;Interventions pour condylomes anogénitaux, niveau 1
10C131;Interventions digestives autres que les gastroplasties, pour obésité, niveau 1
11C131;Interventions par voie transurétrale ou transcutanée pour des affections non lithiasiques, niveau 1
12C131;Stérilisation et vasoplastie, niveau 1
13C131;Autres interventions sur l'appareil génital féminin, niveau 1
01C132;Libérations du canal carpien et d'autres nerfs superficiels, niveau 2
02C132;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, niveau 2
03C132;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge supérieur à 17 ans, niveau 2
05C132;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils, niveau 2
06C132;Libérations d'adhérences péritonéales, niveau 2
07C132;Cholécystectomies sans exploration de la voie biliaire principale pour affections aigües, niveau 2
08C132;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau de la hanche et du fémur, niveau 2
09C132;Interventions pour condylomes anogénitaux, niveau 2
10C132;Interventions digestives autres que les gastroplasties, pour obésité, niveau 2
11C132;Interventions par voie transurétrale ou transcutanée pour des affections non lithiasiques, niveau 2
12C132;Stérilisation et vasoplastie, niveau 2
13C132;Autres interventions sur l'appareil génital féminin, niveau 2
01C133;Libérations du canal carpien et d'autres nerfs superficiels, niveau 3
02C133;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, niveau 3
03C133;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge supérieur à 17 ans, niveau 3
05C133;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils, niveau 3
06C133;Libérations d'adhérences péritonéales, niveau 3
07C133;Cholécystectomies sans exploration de la voie biliaire principale pour affections aigües, niveau 3
08C133;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau de la hanche et du fémur, niveau 3
09C133;Interventions pour condylomes anogénitaux, niveau 3
10C133;Interventions digestives autres que les gastroplasties, pour obésité, niveau 3
11C133;Interventions par voie transurétrale ou transcutanée pour des affections non lithiasiques, niveau 3
12C133;Stérilisation et vasoplastie, niveau 3
13C133;Autres interventions sur l'appareil génital féminin, niveau 3
01C134;Libérations du canal carpien et d'autres nerfs superficiels, niveau 4
02C134;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, niveau 4
03C134;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge supérieur à 17 ans, niveau 4
05C134;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils, niveau 4
06C134;Libérations d'adhérences péritonéales, niveau 4
07C134;Cholécystectomies sans exploration de la voie biliaire principale pour affections aigües, niveau 4
08C134;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau de la hanche et du fémur, niveau 4
09C134;Interventions pour condylomes anogénitaux, niveau 4
10C134;Interventions digestives autres que les gastroplasties, pour obésité, niveau 4
11C134;Interventions par voie transurétrale ou transcutanée pour des affections non lithiasiques, niveau 4
12C134;Stérilisation et vasoplastie, niveau 4
13C134;Autres interventions sur l'appareil génital féminin, niveau 4
01C14J;Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire
03C14J;Drains transtympaniques, âge inférieur à 18 ans, en ambulatoire
05C14J;Poses d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque congestive ou état de choc, en ambulatoire
06C14J;Interventions sur le rectum et l'anus autres que les résections rectales, en ambulatoire
07C14J;Cholécystectomies sans exploration de la voie biliaire principale à l'exception des affections aigües, en ambulatoire
08C14J;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau d'une localisation autre que la hanche et le fémur, en ambulatoire
09C14J;Certains curages lymphonodaux pour des affections de la peau, des tissus sous-cutanés ou des seins, en ambulatoire
06C14V;Interventions sur le rectum et l'anus autres que les résections rectales sans CMA
06C14W;Interventions sur le rectum et l'anus autres que les résections rectales avec CMA
03C14Z;Drains transtympaniques, âge inférieur à 18 ans
05C14Z;Pose d'un stimulateur cardiaque permanent avec insuffisance cardiaque
08C14Z;Résections osseuses localisées et/ou ablations de matériel de fixation interne au niveau d'une localisation autre que la hanche et le fémur
24C14Z;Affections de la CMD 07 : séjours de moins de 2 jours, avec acte opératoire de la CMD 07
01C141;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1
03C141;Drains transtympaniques, âge inférieur à 18 ans, niveau 1
05C141;Poses d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque congestive ou état de choc, niveau 1
06C141;Interventions sur le rectum et l'anus autres que les résections rectales, niveau 1
07C141;Cholécystectomies sans exploration de la voie biliaire principale à l'exception des affections aigües, niveau 1
08C141;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau d'une localisation autre que la hanche et le fémur, niveau 1
09C141;Certains curages lymphonodaux pour des affections de la peau, des tissus sous-cutanés ou des seins, niveau 1
13C141;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour tumeurs malignes, niveau 1
01C142;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2
03C142;Drains transtympaniques, âge inférieur à 18 ans, niveau 2
05C142;Poses d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque congestive ou état de choc, niveau 2
06C142;Interventions sur le rectum et l'anus autres que les résections rectales, niveau 2
07C142;Cholécystectomies sans exploration de la voie biliaire principale à l'exception des affections aigües, niveau 2
08C142;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau d'une localisation autre que la hanche et le fémur, niveau 2
09C142;Certains curages lymphonodaux pour des affections de la peau, des tissus sous-cutanés ou des seins, niveau 2
13C142;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour tumeurs malignes, niveau 2
01C143;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 3
03C143;Drains transtympaniques, âge inférieur à 18 ans, niveau 3
05C143;Poses d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque congestive ou état de choc, niveau 3
06C143;Interventions sur le rectum et l'anus autres que les résections rectales, niveau 3
07C143;Cholécystectomies sans exploration de la voie biliaire principale à l'exception des affections aigües, niveau 3
08C143;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau d'une localisation autre que la hanche et le fémur, niveau 3
09C143;Certains curages lymphonodaux pour des affections de la peau, des tissus sous-cutanés ou des seins, niveau 3
13C143;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour tumeurs malignes, niveau 3
01C144;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 4
03C144;Drains transtympaniques, âge inférieur à 18 ans, niveau 4
05C144;Poses d'un stimulateur cardiaque permanent avec infarctus aigu du myocarde ou insuffisance cardiaque congestive ou état de choc, niveau 4
06C144;Interventions sur le rectum et l'anus autres que les résections rectales, niveau 4
07C144;Cholécystectomies sans exploration de la voie biliaire principale à l'exception des affections aigües, niveau 4
08C144;Résections osseuses localisées et/ou ablation de matériel de fixation interne au niveau d'une localisation autre que la hanche et le fémur, niveau 4
09C144;Certains curages lymphonodaux pour des affections de la peau, des tissus sous-cutanés ou des seins, niveau 4
13C144;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour tumeurs malignes, niveau 4
01C15J;Libérations du médian au canal carpien, en ambulatoire
03C15J;Drains transtympaniques, âge supérieur à 17 ans, en ambulatoire
09C15J;Interventions sur la peau, les tissus sous-cutanés ou les seins pour lésions traumatiques, en ambulatoire
05C15T;Poses d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque congestive, ni état de choc, très courte durée
06C15V;Autres interventions sur le tube digestif sans CMA
08C15V;Interventions sur le pied sans CMA
06C15W;Autres interventions sur le tube digestif avec CMA
08C15W;Interventions sur le pied avec CMA
03C15Z;Drains transtympaniques, âge supérieur à 17 ans
05C15Z;Pose d'un stimulateur cardiaque permanent sans insuffisance cardiaque
24C15Z;Résections osseuses localisées et ablations de matériel de fixation : séjours de moins de 2 jours
01C151;Libérations du médian au canal carpien, niveau 1
03C151;Drains transtympaniques, âge supérieur à 17 ans, niveau 1
05C151;Poses d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque congestive, ni état de choc, niveau 1
06C151;Autres interventions sur le tube digestif en dehors des laparotomies, niveau 1
09C151;Interventions sur la peau, les tissus sous-cutanés ou les seins pour lésions traumatiques, niveau 1
13C151;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour affections non malignes, niveau 1
01C152;Libérations du médian au canal carpien, niveau 2
03C152;Drains transtympaniques, âge supérieur à 17 ans, niveau 2
05C152;Poses d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque congestive, ni état de choc, niveau 2
06C152;Autres interventions sur le tube digestif en dehors des laparotomies, niveau 2
09C152;Interventions sur la peau, les tissus sous-cutanés ou les seins pour lésions traumatiques, niveau 2
13C152;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour affections non malignes, niveau 2
01C153;Libérations du médian au canal carpien, niveau 3
03C153;Drains transtympaniques, âge supérieur à 17 ans, niveau 3
05C153;Poses d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque congestive, ni état de choc, niveau 3
06C153;Autres interventions sur le tube digestif en dehors des laparotomies, niveau 3
09C153;Interventions sur la peau, les tissus sous-cutanés ou les seins pour lésions traumatiques, niveau 3
13C153;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour affections non malignes, niveau 3
01C154;Libérations du médian au canal carpien, niveau 4
03C154;Drains transtympaniques, âge supérieur à 17 ans, niveau 4
05C154;Poses d'un stimulateur cardiaque permanent sans infarctus aigu du myocarde, ni insuffisance cardiaque congestive, ni état de choc, niveau 4
06C154;Autres interventions sur le tube digestif en dehors des laparotomies, niveau 4
09C154;Interventions sur la peau, les tissus sous-cutanés ou les seins pour lésions traumatiques, niveau 4
13C154;Exentérations pelviennes, hystérectomies élargies ou vulvectomies pour affections non malignes, niveau 4
03C16J;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, en ambulatoire
13C16J;Prélèvements d'ovocytes, en ambulatoire
03C16V;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, âge inférieur à 70 ans sans CMA
06C16V;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans sans CMA
08C16V;Interventions sur les tissus mous sans CMA
03C16W;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, âge supérieur à 69 ans et/ou CMA
06C16W;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans avec CMA
08C16W;Interventions sur les tissus mous avec CMA
05C16Z;Remplacement ou ablation chirurgicale d'électrodes ou de boîtier de stimulation cardiaque permanente
24C16Z;Interventions sur la main : séjours de moins de 2 jours
03C161;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, niveau 1
06C161;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans, niveau 1
09C161;Mastectomies totales avec reconstructions complexes, niveau 1
03C162;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, niveau 2
06C162;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans, niveau 2
09C162;Mastectomies totales avec reconstructions complexes, niveau 2
03C163;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, niveau 3
06C163;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans, niveau 3
09C163;Mastectomies totales avec reconstructions complexes, niveau 3
03C164;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, niveau 4
06C164;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans, niveau 4
09C164;Mastectomies totales avec reconstructions complexes, niveau 4
03C17J;Interventions sur la bouche, en ambulatoire
05C17J;Ligatures de veines et éveinages, en ambulatoire
13C17J;Cervicocystopexie, en ambulatoire
05C17V;Ligatures de veines et éveinages, âge inférieur à 70 ans sans CMA
06C17V;Interventions sur l'oesophage, l'estomac et le duodénum pour affections non malignes, âge supérieur à 17 ans sans CMA
05C17W;Ligatures de veines et éveinages, âge supérieur à 69 ans et/ou CMA
06C17W;Interventions sur l'oesophage, l'estomac et le duodénum pour affections non malignes, âge supérieur à 17 ans avec CMA
03C17Z;Interventions sur la bouche
08C17Z;Interventions sur la main et le poignet pour kyste synovial
24C17Z;Arthroscopies : séjours de moins de 2 jours
03C171;Interventions sur la bouche, niveau 1
05C171;Ligatures de veines et éveinages, niveau 1
09C171;Reconstructions complexes isolées, niveau 1
13C171;Cervicocystopexie, niveau 1
03C172;Interventions sur la bouche, niveau 2
05C172;Ligatures de veines et éveinages, niveau 2
09C172;Reconstructions complexes isolées, niveau 2
13C172;Cervicocystopexie, niveau 2
03C173;Interventions sur la bouche, niveau 3
05C173;Ligatures de veines et éveinages, niveau 3
09C173;Reconstructions complexes isolées, niveau 3
13C173;Cervicocystopexie, niveau 3
03C174;Interventions sur la bouche, niveau 4
05C174;Ligatures de veines et éveinages, niveau 4
09C174;Reconstructions complexes isolées, niveau 4
13C174;Cervicocystopexie, niveau 4
05C18J;Autres interventions sur le système circulatoire, en ambulatoire
08C18V;Interventions sur la main et le poignet pour une affection autre qu'un kyste synovial sans CMA
08C18W;Interventions sur la main et le poignet pour une affection autre qu'un kyste synovial avec CMA
03C18Z;Pose d'implants cochléaires
05C18Z;Autres interventions sur le système circulatoire
24C18Z;Affections de la CMD 08 : séjours de moins de 2 jours, avec autre acte opératoire de la CMD 08
03C181;Pose d'implants cochléaires, niveau 1
05C181;Autres interventions sur le système circulatoire, niveau 1
09C181;Interventions majeures pour tumeur maligne du sein avec reconstruction prothétique, niveau 1
13C181;Myomectomies de l'utérus, niveau 1
03C182;Pose d'implants cochléaires, niveau 2
05C182;Autres interventions sur le système circulatoire, niveau 2
09C182;Interventions majeures pour tumeur maligne du sein avec reconstruction prothétique, niveau 2
13C182;Myomectomies de l'utérus, niveau 2
03C183;Pose d'implants cochléaires, niveau 3
05C183;Autres interventions sur le système circulatoire, niveau 3
09C183;Interventions majeures pour tumeur maligne du sein avec reconstruction prothétique, niveau 3
13C183;Myomectomies de l'utérus, niveau 3
03C184;Pose d'implants cochléaires, niveau 4
05C184;Autres interventions sur le système circulatoire, niveau 4
09C184;Interventions majeures pour tumeur maligne du sein avec reconstruction prothétique, niveau 4
13C184;Myomectomies de l'utérus, niveau 4
03C19J;Ostéotomies de la face, en ambulatoire
06C19J;Hémorroïdectomies, en ambulatoire
13C19J;Interventions pour stérilité ou motifs de soins liés à la reproduction, en ambulatoire
05C19T;Poses d'un défibrillateur cardiaque, très courte durée
03C19Z;Ostéotomies de la face
05C19Z;Pose d'un défibrillateur cardiaque
08C19Z;Arthroscopies
24C19Z;@Affections de la CMD 09 : séjours de moins de 2 jours, avec acte opératoire de la CMD 09
03C191;Ostéotomies de la face, niveau 1
05C191;Poses d'un défibrillateur cardiaque, niveau 1
06C191;Hémorroïdectomies, niveau 1
09C191;Interventions majeures pour tumeur maligne du sein, niveau 1
13C191;Interventions pour stérilité ou motifs de soins liés à la reproduction, niveau 1
03C192;Ostéotomies de la face, niveau 2
05C192;Poses d'un défibrillateur cardiaque, niveau 2
06C192;Hémorroïdectomies, niveau 2
09C192;Interventions majeures pour tumeur maligne du sein, niveau 2
13C192;Interventions pour stérilité ou motifs de soins liés à la reproduction, niveau 2
03C193;Ostéotomies de la face, niveau 3
05C193;Poses d'un défibrillateur cardiaque, niveau 3
06C193;Hémorroïdectomies, niveau 3
09C193;Interventions majeures pour tumeur maligne du sein, niveau 3
13C193;Interventions pour stérilité ou motifs de soins liés à la reproduction, niveau 3
03C194;Ostéotomies de la face, niveau 4
05C194;Poses d'un défibrillateur cardiaque, niveau 4
06C194;Hémorroïdectomies, niveau 4
09C194;Interventions majeures pour tumeur maligne du sein, niveau 4
13C194;Interventions pour stérilité ou motifs de soins liés à la reproduction, niveau 4
03C20J;Interventions de reconstruction de l'oreille moyenne, en ambulatoire
